01.06.2020 21:04:35, Seconds:0, Milliseconds:201, direction:Down, mostNearElement:[7,15], True
01.06.2020 21:04:36, Seconds:0, Milliseconds:203, direction:Down, mostNearElement:[7,15], True
01.06.2020 21:04:36, Seconds:0, Milliseconds:2, direction:Right, mostNearElement:[4,4], True
01.06.2020 21:04:37, Seconds:0, Milliseconds:2, direction:Right, mostNearElement:[4,4], True
01.06.2020 21:04:38, Seconds:0, Milliseconds:120, direction:Right, mostNearElement:[8,16], True
01.06.2020 21:04:39, Seconds:0, Milliseconds:116, direction:Right, mostNearElement:[8,16], True
01.06.2020 21:04:40, Seconds:0, Milliseconds:138, direction:Right, mostNearElement:[9,16], True
01.06.2020 21:04:41, Seconds:0, Milliseconds:154, direction:Down, mostNearElement:[9,17], True
01.06.2020 21:04:43, Seconds:0, Milliseconds:248, direction:Left, mostNearElement:[8,17], False
01.06.2020 21:04:44, Seconds:0, Milliseconds:373, direction:Down, mostNearElement:[8,18], False
01.06.2020 21:04:45, Seconds:0, Milliseconds:246, direction:Right, mostNearElement:[9,18], False
01.06.2020 21:04:46, Seconds:0, Milliseconds:172, direction:Right, mostNearElement:[10,18], False
01.06.2020 21:04:47, Seconds:0, Milliseconds:191, direction:Up, mostNearElement:[10,17], False
01.06.2020 21:04:47, Seconds:0, Milliseconds:182, direction:Up, mostNearElement:[10,16], False
01.06.2020 21:04:49, Seconds:0, Milliseconds:191, direction:Right, mostNearElement:[7,20], False
01.06.2020 21:04:50, Seconds:0, Milliseconds:238, direction:Right, mostNearElement:[7,20], False
01.06.2020 21:04:50, Seconds:0, Milliseconds:107, direction:Down, mostNearElement:[7,20], False
01.06.2020 21:04:52, Seconds:0, Milliseconds:205, direction:Down, mostNearElement:[7,20], False
01.06.2020 21:04:53, Seconds:0, Milliseconds:474, direction:Left, mostNearElement:[11,19], False
01.06.2020 21:04:54, Seconds:0, Milliseconds:279, direction:Stop, mostNearElement:[7,20], False
01.06.2020 21:04:55, Seconds:0, Milliseconds:323, direction:Left, mostNearElement:[7,20], False
01.06.2020 21:04:56, Seconds:0, Milliseconds:751, direction:Down, mostNearElement:[9,19], False
01.06.2020 21:04:57, Seconds:0, Milliseconds:712, direction:Left, mostNearElement:[7,17], False
01.06.2020 21:04:58, Seconds:0, Milliseconds:707, direction:Left, mostNearElement:[7,19], False
01.06.2020 21:04:59, Seconds:0, Milliseconds:342, direction:Down, mostNearElement:[7,20], False
01.06.2020 21:05:01, Seconds:0, Milliseconds:609, direction:Left, mostNearElement:[7,17], True
01.06.2020 21:05:01, Seconds:0, Milliseconds:87, direction:Right, mostNearElement:[8,6], False
01.06.2020 21:05:02, Seconds:0, Milliseconds:88, direction:Right, mostNearElement:[8,6], False
01.06.2020 21:21:26, Seconds:0, Milliseconds:137, direction:Right, mostNearElement:[26,8], False
01.06.2020 21:21:27, Seconds:0, Milliseconds:112, direction:Up, mostNearElement:[26,8], False
01.06.2020 21:21:29, Seconds:0, Milliseconds:154, direction:Right, mostNearElement:[26,8], False
01.06.2020 21:21:29, Seconds:0, Milliseconds:99, direction:Right, mostNearElement:[26,8], False
01.06.2020 21:21:30, Seconds:0, Milliseconds:126, direction:Right, mostNearElement:[26,8], False
01.06.2020 21:21:31, Seconds:0, Milliseconds:103, direction:Right, mostNearElement:[26,8], False
01.06.2020 21:21:32, Seconds:0, Milliseconds:101, direction:Up, mostNearElement:[26,7], False
01.06.2020 21:21:33, Seconds:0, Milliseconds:101, direction:Right, mostNearElement:[27,7], False
01.06.2020 21:21:34, Seconds:0, Milliseconds:120, direction:Up, mostNearElement:[27,6], False
01.06.2020 21:21:35, Seconds:0, Milliseconds:130, direction:Left, mostNearElement:[26,6], False
01.06.2020 21:21:36, Seconds:0, Milliseconds:150, direction:Up, mostNearElement:[28,6], False
01.06.2020 21:21:38, Seconds:0, Milliseconds:181, direction:Up, mostNearElement:[28,6], False
01.06.2020 21:21:39, Seconds:0, Milliseconds:177, direction:Right, mostNearElement:[28,6], False
01.06.2020 21:21:40, Seconds:0, Milliseconds:269, direction:Right, mostNearElement:[28,6], False
01.06.2020 21:21:40, Seconds:0, Milliseconds:125, direction:Down, mostNearElement:[28,6], False
01.06.2020 21:21:41, Seconds:0, Milliseconds:110, direction:Down, mostNearElement:[28,6], False
01.06.2020 21:21:42, Seconds:0, Milliseconds:128, direction:Down, mostNearElement:[28,7], False
01.06.2020 21:21:43, Seconds:0, Milliseconds:122, direction:Down, mostNearElement:[28,8], False
01.06.2020 21:21:45, Seconds:0, Milliseconds:225, direction:Left, mostNearElement:[27,8], False
01.06.2020 21:21:46, Seconds:0, Milliseconds:502, direction:Down, mostNearElement:[32,9], False
01.06.2020 21:21:47, Seconds:0, Milliseconds:506, direction:Right, mostNearElement:[32,9], False
01.06.2020 21:21:48, Seconds:0, Milliseconds:363, direction:Down, mostNearElement:[32,9], False
01.06.2020 21:21:49, Seconds:0, Milliseconds:325, direction:Down, mostNearElement:[28,13], False
01.06.2020 21:21:50, Seconds:0, Milliseconds:388, direction:Down, mostNearElement:[28,13], False
01.06.2020 21:21:57, Seconds:6, Milliseconds:494, direction:Down, mostNearElement:[28,13], False
01.06.2020 21:21:59, Seconds:1, Milliseconds:224, direction:Left, mostNearElement:[27,19], True
01.06.2020 21:22:00, Seconds:0, Milliseconds:998, direction:Up, mostNearElement:[27,19], True
01.06.2020 21:22:02, Seconds:0, Milliseconds:639, direction:Up, mostNearElement:[26,18], False
01.06.2020 21:22:03, Seconds:0, Milliseconds:656, direction:Up, mostNearElement:[26,17], False
01.06.2020 21:22:05, Seconds:1, Milliseconds:310, direction:Right, mostNearElement:[27,17], False
01.06.2020 21:22:06, Seconds:0, Milliseconds:408, direction:Down, mostNearElement:[27,17], False
01.06.2020 21:22:07, Seconds:0, Milliseconds:392, direction:Stop, mostNearElement:[30,12], False
01.06.2020 21:22:08, Seconds:0, Milliseconds:816, direction:Stop, mostNearElement:[27,26], False
01.06.2020 21:22:10, Seconds:0, Milliseconds:402, direction:Down, mostNearElement:[27,26], False
01.06.2020 21:22:11, Seconds:0, Milliseconds:516, direction:Down, mostNearElement:[27,26], False
01.06.2020 21:22:12, Seconds:0, Milliseconds:654, direction:Down, mostNearElement:[27,26], False
